,EnsemblTranscriptID,chr,pos,strand
0,ENST00000000233,chr7,"[(127228398, 127228552)]",+
1,ENST00000000412,chr12,"[(9099000, 9099001), (9102083, 9102551)]",-
2,ENST00000000442,chr11,"[(64073049, 64073208), (64074639, 64074651)]",+
3,ENST00000001008,chr12,"[(2904118, 2904305)]",+
4,ENST00000001146,chr2,"[(72374963, 72375167)]",-
5,ENST00000002125,chr2,"[(37458808, 37458848)]",+
6,ENST00000002165,chr6,"[(143832771, 143832827)]",-
7,ENST00000002501,chr16,"[(90085749, 90085881)]",-
8,ENST00000002596,chr4,"[(11401629, 11401737), (11430322, 11431389)]",-
9,ENST00000002829,chr3,"[(50192561, 50192997), (50197007, 50197055)]",+
10,ENST00000003084,chr7,"[(117120016, 117120148)]",+
11,ENST00000003100,chr7,"[(91763678, 91763844)]",-
12,ENST00000003302,chr11,"[(113746223, 113746292)]",-
13,ENST00000003583,chr1,"[(24727856, 24727946), (24740163, 24740215)]",-
14,ENST00000003912,chr1,"[(24742292, 24742394), (24745780, 24746130), (24759593, 24759703), (24766661, 24766730), (24768544, 24768628)]",+
15,ENST00000004103,chr7,"[(150497630, 150497916), (150498623, 150498638)]",+
16,ENST00000004531,chr8,"[(17396285, 17396333)]",+
17,ENST00000004921,chr17,"[(34391639, 34391702)]",+
18,ENST00000004980,chr12,"[(48495255, 48495299), (48499184, 48499619)]",-
19,ENST00000004982,chr19,"[(36247909, 36247930)]",-
20,ENST00000005082,chr11,"[(3400270, 3400346)]",-
21,ENST00000005178,chr7,"[(95225605, 95225803)]",-
22,ENST00000005180,chr7,"[(75401494, 75401575)]",-
23,ENST00000005257,chr7,"[(39663081, 39663424), (39726229, 39726266)]",+
24,ENST00000005259,chr7,"[(107220421, 107220746), (107221203, 107221217)]",+
25,ENST00000005260,chr7,"[(98030164, 98030380)]",-
26,ENST00000005284,chr16,"[(24266873, 24268075)]",+
27,ENST00000005286,chr11,"[(60691952, 60692105)]",+
28,ENST00000005340,chr17,"[(7137581, 7137864)]",-
29,ENST00000005374,chr7,"[(30544325, 30544418)]",-
30,ENST00000005386,chr12,"[(48096623, 48096629), (48099734, 48099844)]",-
31,ENST00000005558,chr7,"[(112063198, 112063487), (112090562, 112090743)]",+
32,ENST00000005756,chr2,"[(158958381, 158958575)]",+
33,ENST00000005995,chr16,"[(2867227, 2867269)]",+
34,ENST00000006015,chr7,"[(27224763, 27224835)]",-
35,ENST00000006053,chr16,"[(57406369, 57406480)]",+
36,ENST00000006251,chr22,"[(45072936, 45073120), (45098371, 45098381)]",+
37,ENST00000006275,chr19,"[(45681476, 45681495)]",-
38,ENST00000006658,chr17,"[(48624449, 48624569)]",+
39,ENST00000006724,chr19,"[(42192094, 42192296)]",-
40,ENST00000006750,chr17,"[(62009621, 62009714)]",-
41,ENST00000006777,chr7,"[(75508265, 75508400)]",+
42,ENST00000006967,chr7,"[(139876737, 139876741)]",-
43,ENST00000007264,chr16,"[(837737, 837744), (838255, 838383)]",-
44,ENST00000007390,chr16,"[(1401805, 1401912)]",-
45,ENST00000007414,chr17,"[(45897644, 45897731), (45899031, 45899136)]",-
46,ENST00000007510,chr19,"[(36266416, 36266560)]",+
47,ENST00000007516,chr16,"[(23607611, 23607677)]",-
48,ENST00000007633,chr11,"[(67777789, 67777862), (67782766, 67782767)]",+
49,ENST00000007699,chr17,"[(7197819, 7197883)]",-
50,ENST00000007708,chr17,"[(48172100, 48172262), (48173495, 48173650), (48174786, 48174860)]",+
51,ENST00000007735,chr17,"[(39507019, 39507064)]",-
52,ENST00000007969,chr12,"[(7013896, 7014067), (7014748, 7014797)]",+
53,ENST00000008180,chr16,"[(3115631, 3115688), (3115784, 3115812)]",+
54,ENST00000008391,chr6,"[(50681540, 50681768)]",+
55,ENST00000008440,chr1,"[(231474001, 231474129)]",+
56,ENST00000008527,chr12,"[(107486739, 107487607)]",-
57,ENST00000008938,chr19,"[(46526279, 46526323)]",-
58,ENST00000009041,chr7,"[(38217823, 38218022), (38247047, 38247105)]",+
59,ENST00000009105,chr1,"[(209757061, 209757277), (209768299, 209768328)]",+
60,ENST00000009180,chr12,"[(6309614, 6309665)]",+
61,ENST00000009530,chr5,"[(149792312, 149792314)]",-
62,ENST00000009589,chr8,"[(56986942, 56987065)]",-
63,ENST00000010132,chr12,"[(4699485, 4699606), (4700325, 4700346)]",+
64,ENST00000010299,chr1,"[(28052567, 28052591)]",+
65,ENST00000010404,chr12,"[(16500075, 16500118), (16507164, 16507186)]",+
66,ENST00000011292,chr7,"[(130020211, 130020361)]",+
67,ENST00000011473,chr7,"[(105752975, 105753022)]",-
68,ENST00000011619,chr6,"[(13711737, 13711796)]",-
69,ENST00000011653,chr12,"[(6898637, 6898828), (6909237, 6909304)]",+
70,ENST00000011684,chr12,"[(6419601, 6419681), (6421324, 6421392)]",+
71,ENST00000011691,chr3,"[(42632297, 42632389)]",+
72,ENST00000011898,chr12,"[(3186542, 3186619), (3192818, 3192885), (3310342, 3310359)]",+
73,ENST00000011989,chr19,"[(16003196, 16003246), (16003338, 16003392), (16008223, 16008422), (16008835, 16008881)]",-
74,ENST00000012049,chr19,"[(46195740, 46195961)]",+
75,ENST00000012134,chr6,"[(143095875, 143096262), (143097283, 143097328), (143158071, 143158184)]",-
76,ENST00000012443,chr19,"[(46850250, 46850353)]",+
77,ENST00000013034,chr17,"[(49231025, 49231085), (49231585, 49231734)]",+
78,ENST00000013070,chr14,"[(93673400, 93673636)]",+
79,ENST00000013125,chr14,"[(50998767, 50998876), (50999117, 50999327)]",-
80,ENST00000013222,chr7,"[(30791750, 30791766)]",+
81,ENST00000013807,chr19,"[(45926632, 45926824)]",-
82,ENST00000014914,chr12,"[(13043715, 13044598), (13061176, 13061183)]",+
83,ENST00000014930,chr12,"[(13153048, 13153207)]",-
84,ENST00000016171,chr10,"[(101491806, 101491857)]",-
85,ENST00000016913,chr11,"[(60260250, 60260301), (60264785, 60264791)]",+
86,ENST00000016946,chr2,"[(110551884, 110552042)]",+
87,ENST00000017003,chr17,"[(48423452, 48423501)]",+
88,ENST00000019019,chrX,"[(48334548, 48334784), (48334950, 48335056), (48336348, 48336435)]",+
89,ENST00000019103,chr2,"[(120281802, 120282070)]",-
90,ENST00000019317,chr18,"[(9475006, 9475174), (9512988, 9513043)]",+
91,ENST00000020673,chr10,"[(104176795, 104176878), (104178457, 104178901)]",-
92,ENST00000020926,chr11,"[(45307758, 45307870)]",-
93,ENST00000020945,chr8,"[(49833824, 49833988)]",-
94,ENST00000022615,chr8,"[(42249420, 42249446), (42251362, 42251402), (42251727, 42251729)]",+
95,ENST00000023064,chr19,"[(33359440, 33359551), (33360591, 33360672)]",-
96,ENST00000023897,chr5,"[(161274196, 161274417), (161275196, 161275428), (161277801, 161277816)]",+
97,ENST00000023939,chr20,"[(55043646, 55043753)]",+
98,ENST00000024061,chr8,"[(142238365, 142238673)]",-
99,ENST00000025008,chr8,"[(53598029, 53598080), (53599412, 53599527), (53626634, 53626992)]",-
100,ENST00000025301,chr13,"[(42846288, 42846364), (42860121, 42860171), (42860435, 42860484)]",+
101,ENST00000025399,chr12,"[(16035327, 16035641)]",+
